#{"t_start": 1617149633.0881047, "env_id": null}
r,l,t
22.0,22,0.331979
11.0,11,0.345832
15.0,15,0.364986
19.0,19,0.38798
23.0,23,0.415999
13.0,13,0.431833
37.0,37,0.941954
17.0,17,0.963944
14.0,14,0.980948
23.0,23,1.008946
15.0,15,1.027371
16.0,16,1.046892
41.0,41,1.556383
18.0,18,1.578343
17.0,17,1.598342
35.0,35,1.640918
30.0,30,1.677919
15.0,15,1.695922
19.0,19,2.178891
12.0,12,2.192894
21.0,21,2.21885
20.0,20,2.243886
18.0,18,2.265742
20.0,20,2.290308
24.0,24,2.779865
47.0,47,2.837856
11.0,11,2.850707
15.0,15,2.868856
18.0,18,2.890851
56.0,56,3.416264
39.0,39,3.464824
18.0,18,3.48683
35.0,35,3.530241
13.0,13,3.546245
18.0,18,4.025939
19.0,19,4.048793
25.0,25,4.080722
13.0,13,4.097508
20.0,20,4.122792
12.0,12,4.136791
11.0,11,4.150642
44.0,44,4.658759
12.0,12,4.673763
23.0,23,4.70274
10.0,10,4.714761
24.0,24,4.743761
20.0,20,4.767761
20.0,20,5.247593
19.0,19,5.271641
24.0,24,5.300725
23.0,23,5.328727
17.0,17,5.349731
13.0,13,5.364728
30.0,30,5.859123
30.0,30,5.895566
34.0,34,5.937709
18.0,18,5.958699
43.0,43,6.4621
20.0,20,6.486124
20.0,20,6.511137
13.0,13,6.526532
40.0,40,6.574677
43.0,43,7.08865
40.0,40,7.136619
22.0,22,7.163491
41.0,41,7.213054
72.0,72,7.749034
13.0,13,7.76504
29.0,29,7.800026
14.0,14,7.817035
64.0,64,8.358996
28.0,28,8.392996
88.0,88,8.952978
71.0,71,9.038971
41.0,41,9.53153
62.0,62,9.607527
64.0,64,10.153622
72.0,72,10.241685
34.0,34,10.731929
83.0,83,10.831954
68.0,68,11.356852
16.0,16,11.375854
86.0,86,11.919818
115.0,115,12.060836
92.0,92,12.609375
128.0,128,13.202299
72.0,72,13.720728
164.0,164,14.354128
180.0,180,14.997246
286.0,286,16.684159
129.0,129,17.266989
268.0,268,18.476146
212.0,212,19.16889
195.0,195,20.26698
171.0,171,20.898019
385.0,385,22.639277
507.0,507,24.998059
52586.0,52586,261.753212
484.0,484,264.011681
662.0,662,266.939515
857.0,857,270.912342
981.0,981,275.036952
1227.0,1227,280.70103
2006.0,2006,289.847001
